,Product,Consumer_complaint_narrative,category_id
897,"Credit reporting, credit repair services, or other personal consumer reports",I have two unrecognizable inquiries from XXXX  XXXX XXXX business side that arent attached to anything and they are holding my profile back. I also have an unrecognizable inquiry under XXXX XXXX which I have no clue of what it is.,0
901,"Credit reporting, credit repair services, or other personal consumer reports","In accordance with the Fair Credit Reporting act. The List of accounts below has violated my federally protected consumer rights to privacy and confidentiality under 15 USC 1681. 

XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX have both violated my rights M15 U.S.C 1681 section 602 A. States I have the right to privacy.

15 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions 15 U.S.C 1681c. ( a ) ( 5 ) Section States : no consumer reporting agency may make any consumer report containing any of the following items of information Any other adverse item of information, other than records of convictions of crimes which antedates the report by more than seven years.

15 U.S.C. 1681s-2 ( A ) ( 1 ) A person shall not furnish any information relating to a consumer to any consumer reporting agency if the",0
960,"Credit reporting, credit repair services, or other personal consumer reports","Im submitting a complaint to you today to inform you I was the victim of identity theft. My credit report contains a significant number of unauthorized requests, as well as some erroneous reporting of Information. I can tell that someone has stolen my identity. As a result, I filed a formal report to the FTC with XXXX XXXX # XXXX. In accordance with the provisions of FCRA Section 605B ( 15 U.S.C. 1681c-2 ), I have included that report in this complaint. Please remove these items from my credit record as soon as possible to comply with the law ( i.e., 4 days ). Please let me know if you require anything else. Here is the list of items which do not belong to me or were opened without my permission : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX. According to FCRA Section 605B ( a ) the CREDIT REPORTING AGENCIES shall block any information in the file of a consumer that the consumer identifies as information that resulted from an alleged identity theft, not later than 4 business days after the date of receipt.",0
996,Mortgage,"XXXX XXXX XXXX has left an unapplied balance totaling {$13000.00} on my account and never applied the payments appropriately. They approved a modification with an incorrect interest rate and upon trying to correct it never executed it, then they erroneously denied the loan modification which they did not sign. The loan was transferred to Shellpoint who assumed the loan in XX/XX/XXXX. I was not able to log into XXXX to access any of my account information. Shellpoint did not set up my online account until XXXX, also leaving me with no account or statement/history access. Shellpoint has recapped all of this in a letter dated XXXX. Due to their errors and not responding in a timely manner, they wrongfully put the house in foreclosure and a sale is scheduled for XX/XX/XXXX. Today XXXX we were also informed that XXXX did not make a payment of {$440.00} dollars to XXXX, who filed a derogatory mark on my credit. We also had issues with XXXX not paying the house insurance and leaving the house exposed to liabilities which was a hassle to rectify, but Shellpoint finally cleared that part up, but apparently left the {$440.00} issue unresolved. This has hurt my credit and I am about to suffer a foreclosure. I can not buy a new car and I desperately need to get this cleared up because they have affected my purchasing power, my credit and my health. I am including what I have, but if you need anything else, I am willing to provide it with the exception of any monthly statements because Shellpoint said it is too cumbersome for the to provide them ( unfortunately ).",1
1081,Vehicle loan or lease,"I'm concerned about the interest rate being very high being that my credit score was over XXXX and I actually leased the car from XXXX and it looks like at the end of the current loan I will have paid Acura {$44000.00} dollars. Is this legal? 

Thank you XXXX XXXX",2
1179,Debt collection,"From XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX Placed for collectionsXXXX Date updated : XX/XX/2020 Amt : {$870.00} Disputed : XX/XX/2020 XXXX : File # XXXX, dated XX/XX/2020 XXXX XXXX XXXX XXXX  XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX Placed for collections : XX/XX/2020 Date updated : XX/XX/2020 XXXX Amt : {$870.00} XXXX Credit Reporting Agency : XXXX XXXX  XXXX XXXX XXXX XXXXXXXX XXXX XXXXXXXX Acct Name : XXXX XXXX XXXX # XXXX XXXX : {$870.00} Disputed on XX/XX/202XXXX XXXX # XXXX On XX/XX/2020XXXX XXXX XXXX  XXXX, sent a letter of collections on the same XXXX account of {$870.00} offering to settle for XXXX XXXX of the outstanding balance or {$690.00}. 

XXXX XXXX, XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX 
XXXX XXXXXXXX XXXX XXXXXXXX Mail to : XXXX XXXX XXXX XXXXXXXX XXXX XXXXXXXX After disputing a collections account to both, XXXX and XXXX Credit Reporting Agencies, I received a response from XXXX XXXX XXXX XXXX, stating : "" This debt is valid, attached is verification of the debt. 

Note : A partial bill encloses with the above response incorrectly states that the date of billing is XX/XX/XXXX- XX/XX/2020. As provided above, this debt collection goes beyond the XX/XX/2020 date as this debt collection had been in dispute before that above mentioned date. So the dates provided in XXXX XXXX is in error and should be removed on that standing alone. 

The amounts provided by XXXX are also in error, stating an amount of {$870.00} and not the original amount as provided in all of the above documented items. 

i am compelled to believe that XXXX XXXX is generating documents that have been fabricated and are falsified. 

I am a XXXX year old man with a XXXX XXXX, XXXX and XXXX XXXX XXXX on continued medication. I do not need to be focusing on continued deceptive debt collection practices. 

The response received from the debt collector appears to be fabricated, Dates are incorrect. No signature of contract. 

Please see if you can help me out on this matter. I am available at the below indicated cell phone number or at ( XXXX ) XXXX. My email is : XXXX XXXX",3
1193,Credit card or prepaid card,"This dispute has not been resolved by XXXX XXXX XXXX XXXX. 
On XX/XX/2022 XXXX XXXX, XXXX XXXX XXXX charged to me the amount of {$420.00}. As soon as, I notice this charge, I called to the credit card, and I dispute it. On XX/XX/2022 the credit card send me a letter saying that the dispute has been closed, because they did not find any evidence of fraud. Once again. I called to the credit card and re-do the dispute, requesting for the invoice to see the charges, but they closed it, again. 
Dispute ID : XXXX, requesting for the invoice to see why the hotel are charging me this amount, because minutes before leaving the hotel, I got my invoice which is for XXXX Shekel ( I have a copy of this invoice ). 
Today, I called again to the credit card asking for the supervisor, and noted that agents, lack knowledge, and how to resolve issues such as the one I am experience. 

I will sent by mail copy of the invoice, that I got from the hotel before leaving. 
And copy of the letter where the dispute was closed.",4
1199,"Credit reporting, credit repair services, or other personal consumer reports","Hello back in 2019 I submitted identity theft report in 2019, I had my identity and info compromised not once but twice but twice when the Equifax breach happened my name has been dragged through the mud and I owe money to a bunch of accounts that I didn't even apply for my phone was stolen had all my info in there, got so many calls and inquiries on my report that I did no authorize, reported to police no one ever followed up with me and I've been financially sturgglince since then and throughout covidXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, I am one of the backbones of this country XXXX XXXX XXXX and I have gotten no respect, from anyone, this has brought me to XXXX XXXX XXXX I have documented proof of my depleting, mental health!!! filed two police reports and test bureaus refuse to remove this false info, and have never even validated debt never gave me original statements and paper work, these companies have recouped their money and I and my family are still broken. I NEED HELP, I CAN NOT continue to struggle like this, my family is suffering!!!",0
1206,"Credit reporting, credit repair services, or other personal consumer reports","I am officially challenging you to review your data on file for me! With the Fair Credit Reporting Act ( FCRA ) section 611 ( 15 U S C 1681I ) and Metro 2 compliance standards, I challenge all inaccuracies or deficiencies of reporting.The credit report I received was not accurate, which surprises me because you should be adhering to the FCRA and applicable Metro 2 data field formatting standards.OK, so here 's my challenge for you : Make a document that shows all of the evidence and sends it to me. It should be verified, complete with sources! The 2020 CRRG states that any deviation from these standards jeopardizes the integrity of data.

This is a serious issue! The report you sent me is not accurate. Are you sure that all of the information is accurate and properly formatted? The below-noted claims are disputed and have not been confirmed as facts.Please take care of any false accounts on my credit report. I am requesting that you fix this issue as soon as possible because it will affect me financially in the future if left unchecked! I can't live with anything less than 100 % accuracy on my credit report. I want only factually accurate, verified and compliant data documented in it!

Below is a summary of the data in which I am challenging : Summary of Accounts being challenged in list form XXXX XXXX  ( XXXX ) - ( XXXX ) XXXX XXXX ( XXXX ) - ( XXXX ) XXXX XXXX ( XXXX ) - ( XXXX ) XXXX XXXX ( XXXX ) - ( XXXX ) XXXX Summary of Inquiries being challenged in list form XXXX ( XXXX ) - ( XXXX ) XX/XX/XXXX",0
1207,"Credit reporting, credit repair services, or other personal consumer reports","I sent a dispute letter last month requesting that you remove the following inaccurate accounts or that you update the inaccurate information, and it was ignored. I would like to know what your method of verification was as well as the documentation to prove you performed an independent investigation. 
Where is the proof this investigation was done? Why cant you send it to me? I am re-disputing these accounts. 

XXXX  XXXX XXXX delete this account for inaccuracy because the high balance is {$350.00}, and {$0.00}, last verified date XX/XX/XXXX for TransUnion and XXXX has No date reported. 
The date of last activity for TransUnion XX/XX/XXXX, for XXXX XX/XX/XXXX, Date reported for TransUnion XX/XX/XXXX, and XXXX XX/XX/XXXX Date opened for TransUnion XX/XX/XXXX and XXXX XX/XX/XXXX Closed date for TransUnion XX/XX/XXXX and for XXXX there is no date at all. 

XXXX XXXX Last verified by TransUnion XX/XX/XXXX, XXXX no date, XXXX no date, Date of last activity TransUnion XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, Date reported is inaccurate TransUnion XX/XX/XXXX, XXXX XX/XX/XXXX, XXXX XX/XX/XXXX, The date opened is inaccurate TransUnion XX/XX/XXXX, XXXX XX/XX/XXXX, XXXX XX/XX/XXXX, Balanced Owed is inaccurate TransUnion {$5900.00} XXXX {$5900.00}, XXXX {$6300.00}, Creditor Type : TransUnion has XXXX, XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX  Used this is inaccurate. 

Last Payment is inaccurate TransUnion XX/XX/XXXX, XXXX XX/XX/XXXX, XXXX XX/XX/XXXX, Term Length TransUnion 62 month, XXXX 62 months, XXXX has no term reported, Last payment TransUnion XX/XX/XXXX, XXXX, XXXX XX/XX/XXXX XXXX Past Due Amount : TransUnion {$1500.00}, XXXX : {$1500.00}, XXXX : {$1000.00} Please Block and delete this account for inaccuracy Please send me a new credit report Thank You",0
